IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.22.210,8080,8080,false,HKG,Asia Pacific,Hong Kong,49,0.15
8.217.207.60,8080,8080,false,HKG,Asia Pacific,Hong Kong,41,0.14
47.76.178.146,2095,2095,false,HKG,Asia Pacific,Hong Kong,42,0.13
47.237.78.149,80,80,false,SIN,Asia Pacific,Singapore,10,0.11
8.218.122.55,8080,8080,false,HKG,Asia Pacific,Hong Kong,38,0.11
47.237.95.192,80,80,false,SIN,Asia Pacific,Singapore,15,0.10
47.76.37.57,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,0.10
8.218.63.172,443,443,true,HKG,Asia Pacific,Hong Kong,66,0.10
8.218.201.73,8880,8880,false,HKG,Asia Pacific,Hong Kong,35,0.09
47.245.114.163,2052,2052,false,SIN,Asia Pacific,Singapore,34,0.09
47.57.14.118,80,80,false,SJC,North America,San Jose,37,0.09
47.76.32.108,2082,2082,false,HKG,Asia Pacific,Hong Kong,57,0.07
8.222.160.176,8080,8080,false,SIN,Asia Pacific,Singapore,20,0.06
8.212.12.98,80,80,false,HKG,Asia Pacific,Hong Kong,43,0.06
8.222.237.131,2053,2053,true,SIN,Asia Pacific,Singapore,66,0.06
8.222.134.170,2052,2052,false,SIN,Asia Pacific,Singapore,53,0.05
47.245.114.163,8080,8080,false,SIN,Asia Pacific,Singapore,30,0.05
8.218.211.17,2096,2096,true,HKG,Asia Pacific,Hong Kong,106,0.04
47.236.164.215,2095,2095,false,SIN,Asia Pacific,Singapore,12,0.04
8.212.12.98,80,80,false,HKG,Asia Pacific,Hong Kong,80,0.04
47.245.126.151,8080,8080,false,SIN,Asia Pacific,Singapore,57,0.03
47.57.14.118,80,80,false,SJC,North America,San Jose,49,0.03
47.57.13.107,443,443,true,HKG,Asia Pacific,Hong Kong,61,0.02
47.242.68.32,443,443,true,HKG,Asia Pacific,Hong Kong,69,0.02
149.129.8.215,80,80,false,SJC,North America,San Jose,113,0.02
8.211.55.176,443,443,true,FRA,Europe,Frankfurt,281,0.02
47.254.65.110,443,443,true,SJC,North America,San Jose,181,0.01
47.57.13.107,80,80,false,HKG,Asia Pacific,Hong Kong,43,0.01
8.210.92.27,443,443,true,HKG,Asia Pacific,Hong Kong,64,0.01
47.76.146.1,2095,2095,false,HKG,Asia Pacific,Hong Kong,63,0.01
47.57.13.107,80,80,false,HKG,Asia Pacific,Hong Kong,38,0.01
